-0.097167,-0.16336,-0.6498,0.011142,-0.17687,-0.14083,0.043043,0.053167,-0.66304,-0.16779,-0.12259,0.053074,0.0090785
-0.037518,-0.13732,-0.20721,0.41435,-0.31238,-0.24872,-0.036924,0.23819,0.5501,-0.32017,-0.23391,0.29611,-0.0077879
-0.093614,-0.12656,-0.07171,-0.2331,0.050883,0.040514,-0.89579,-0.19944,0.064923,-0.13805,-0.10086,-0.012648,-0.18894
-0.20601,-0.16293,0.33108,0.80216,0.084139,0.066992,-0.18144,-0.11847,-0.32466,0.04587,0.033513,-0.096545,-0.038269
-0.041462,-0.0019579,-0.31714,0.12397,0.91443,-0.068131,0.053505,0.076098,0.1348,-0.074284,-0.054272,0.078022,0.011285
-0.033012,-0.0015589,-0.25251,0.098704,-0.068131,0.94575,0.042601,0.06059,0.10733,-0.059146,-0.043212,0.062121,0.0089852
-0.046897,-0.88189,0.15895,-0.20426,0.062974,0.05014,0.27356,-0.17319,0.072376,-0.090244,-0.065932,-0.024046,-0.15322
-0.076114,-0.157,0.22708,-0.13083,0.061334,0.048834,-0.1618,0.91582,-0.15456,0.027208,0.019878,-0.060251,-0.034125
-0.95742,0.13969,0.010029,-0.15296,-0.037106,-0.029544,0.13003,-0.037548,0.11297,-0.0096806,-0.0070726,-0.078215,0.027425
-0.051353,-0.18796,-0.28362,0.080887,-0.072287,-0.057555,-0.099713,0.039569,0.15007,0.90668,-0.068178,0.07295,-0.021031
-0.037518,-0.13732,-0.20721,0.059095,-0.052813,-0.04205,-0.07285,0.028909,0.10964,-0.068178,0.95019,0.053297,-0.015365
-0.079718,0.03492,0.233,-0.10563,0.057844,0.046056,-0.010326,-0.057358,-0.20444,0.055666,0.04067,0.93357,-0.0021778
-0.0098913,-0.186,0.033524,-0.043081,0.013282,0.010575,-0.15322,-0.036529,0.015265,-0.019034,-0.013906,-0.0050716,0.96768
