"d18d18d18","d17d18d18","d18d17d17","d17d17d17"
"0.70106","-0.12719","-0.17409","-0.67973"
"-0.2015","0.50407","0.68994","-0.47884"
"0.25173","-0.64818","0.68898","0.20446"
