"d14d15d15","d14d14d15","d15d15d15","d15d15d14","d14d14d14","d15d14d14"
"-0.18644","-0.15118","0.71941","-0.14234","-0.59502","-0.22477"
"0.70952","-0.032685","0.55451","0.20821","0.35584","0.13442"
"-0.064329","0.9842","0.16115","0.0075499","-0.032262","-0.012187"
