"d18d18d18","d16d16d16","d18d18d17","d19d19d20","d16d16d17","d17d16d16","d20d20d20","d19d19d18","d20d20d19","d17d17d18","d17d17d17","d16d17d17","d18d19d19"
"-0.04248","-0.62524","0.072599","-0.079118","-0.072599","6.0235e-05","0.12537","0.079047","0.11951","-0.087523","0.73259","6.5004e-05","-0.099369"
"-0.10095","-0.21388","-0.1719","0.18734","0.1719","-0.31901","0.5957","0.18784","0.284","0.20724","-0.2459","-0.34427","0.23529"
"-0.19043","0.72618","-0.0075996","0.013608","0.12622","-0.14213","0.1725","0.057642","0.23472","0.021354","0.55637","-0.02831","0.032272"
