"d16d16d15","d18d18d18","d18d16d15","d18d18d17","d16d16d16","d16d16d17","d20d17d16","d15d15d16","d17d16d16","d20d20d20","d14d14d15","d15d15d15","d19d19d18","d14d14d14","d16d15d14","d17d17d18","d13d16d15","d17d17d17","d17d17d16","d16d16d13","d15d16d16","d17d18d18","d18d19d20","d16d17d17","d16d17d16","d17d18d20"
"0.072166","0.35408","-0.26466","0.059861","0.39544","-0.059861","0.16603","-0.093372","-0.055469","-0.226","-0.13024","-0.10086","-0.17505","-0.34176","-0.26466","-0.19365","0.098632","0.2748","0.21986","0.098632","-0.10077","0.10077","-0.26466","0.10077","0.098632","0.098632"
"-0.21816","0.53636","0.046658","-0.18096","-0.069715","0.18096","0.2515","-0.14144","0.16768","-0.10749","0.022961","-0.047972","0.03086","0.06025","0.046658","0.034139","-0.29816","-0.17132","-0.038759","-0.29816","-0.15264","0.15264","0.046658","0.15264","-0.29816","-0.29816"
"-0.04343","0.19648","0.22926","0.022409","-0.20514","0.18614","0.15091","-0.076196","0.048751","-0.031842","-0.024017","-0.014211","0.10675","0.21504","0.22926","0.10332","0.17595","0.61499","0.040541","0.17595","0.13182","0.14624","0.22926","0.28473","0.17595","0.17595"
