"d14d15d14","d16d16d16","d14d15d15","d15d15d15","d15d15d14","d14d14d14","d16d15d15","d15d16d16"
"-0.15144","-0.11314","-0.091912","-0.39013","-0.070171","0.88001","-0.1258","-0.091912"
"0.97731","-0.044052","0.012607","0.069508","-0.025159","0.19244","-0.010642","0.012607"
"-0.14599","-0.28097","0.20714","0.82569","-0.14563","0.33027","-0.043287","0.20714"
