"d16d16d16","d17d16d16","d16d17d17","d17d17d17"
"-0.66233","0.048226","-0.012665","0.74755"
"-0.40587","0.43598","0.70996","-0.37569"
"0.61731","0.15994","0.54352","0.54583"
