"d24d24d23d24d23d23d23d23d23d23","d22d22d22d22d22d22d22d22d22d21","d24d24d24d24d24d23d24d23d23d23","d25d26d26d26d26d26d26d26d26d26","d24d24d24d24d24d24d24d25d24d25","d20d20d20d20d20d20d20d20d21d21","d24d24d24d24d24d24d24d25d24d24","d24d24d24d24d24d24d24d24d25d25","d21d21d21d22d22d22d22d22d22d22","d23d23d23d23d23d24d24d24d24d23","d23d23d23d23d23d24d24d24d24d24","d21d22d22d22d22d22d22d22d22d22","d23d24d24d24d24d24d24d24d24d24","d24d24d24d23d23d23d23d23d23d23","d25d25d25d25d25d25d25d25d24d24","d24d24d24d24d24d24d24d24d25d24","d24d23d23d23d23d23d23d23d23d23","d24d24d24d24d24d25d24d25d25d25","d21d21d21d20d20d20d20d20d20d20","d25d25d25d25d26d26d26d26d26d26","d23d23d23d23d23d23d23d23d24d24","d24d24d24d24d23d24d23d23d23d23","d22d22d22d22d22d22d22d23d23d23","d25d25d25d25d25d25d25d25d26d26","d24d24d24d24d24d24d25d24d25d25","d24d24d24d24d24d24d24d24d24d24","d24d24d24d24d24d24d24d24d24d25","d22d22d22d23d23d23d23d23d23d23","d25d25d25d25d25d24d24d24d24d24","d24d25d24d25d25d25d25d25d25d25","d22d22d22d22d23d23d23d23d23d23","d24d24d24d24d24d24d24d23d24d23","d24d24d24d24d23d23d23d23d23d23","d24d24d24d24d24d24d25d24d24d25","d23d23d23d23d23d24d24d23d23d23","d24d24d25d25d25d25d25d25d25d25","d21d20d20d20d20d20d20d20d20d20","d24d24d24d24d24d24d24d24d24d23","d26d26d25d25d25d25d25d24d24d24","d25d25d25d25d25d25d24d24d24d24","d25d24d24d25d25d25d25d25d25d25","d21d21d21d21d21d21d21d22d22d22","d23d23d23d23d24d24d23d23d23d23","d25d25d26d26d26d26d26d26d26d26","d26d26d26d26d25d25d25d25d24d24","d24d24d24d24d25d24d24d25d25d25","d22d22d22d22d22d22d23d23d23d23","d23d23d24d24d23d23d23d23d23d23","d20d20d20d20d20d20d20d20d20d21","d20d20d20d20d20d20d20d20d20d20","d25d24d24d24d24d24d24d24d24d24","d21d21d21d21d21d22d22d22d22d22","d23d23d23d23d23d23d24d24d23d23","d24d24d24d24d24d24d23d24d23d23","d23d23d23d23d24d24d24d24d23d23","d26d26d26d26d26d26d25d25d25d25","d24d24d24d24d25d25d25d25d25d25","d25d25d25d25d25d25d24d24d24d23","d24d25d24d24d25d25d25d25d25d25","d24d25d25d25d25d25d25d25d25d25","d25d25d25d25d24d24d24d23d23d23","d26d26d26d26d26d26d26d26d26d26","d21d21d21d21d21d21d21d21d20d20","d22d22d22d22d22d23d23d23d23d23","d24d24d24d24d24d25d24d24d25d25","d25d25d25d25d25d25d25d26d26d26","d22d22d22d22d22d22d21d21d21d21","d23d23d23d23d23d23d23d24d24d24","d24d24d24d24d24d23d23d23d23d23","d23d23d23d23d23d23d23d24d24d23","d25d25d25d25d25d24d24d24d23d23","d25d25d24d24d24d24d24d24d24d24","d22d22d22d22d22d22d22d22d23d23","d26d25d25d25d25d25d24d24d24d24","d22d22d22d22d22d22d22d22d21d21","d21d21d20d20d20d20d20d20d20d20","d24d24d24d24d24d24d24d23d23d23","d21d21d21d21d21d20d20d20d20d20","d23d23d24d24d24d24d24d24d24d24","d22d22d22d22d22d21d21d21d21d21","d25d25d25d26d26d26d26d26d26d26","d23d23d23d23d23d23d24d24d24d24","d25d25d25d25d25d25d25d24d24d24","d22d22d22d22d21d21d21d21d21d21","d24d24d25d24d24d25d25d25d25d25","d26d26d26d25d25d25d25d24d24d24","d23d23d23d24d24d24d24d24d24d24","d26d26d26d26d26d26d26d26d26d25","d25d25d25d25d25d25d25d25d25d24","d26d26d26d25d25d25d25d25d24d24","d23d24d23d23d23d23d23d23d23d23","d24d24d23d23d23d23d23d23d23d23","d24d24d24d24d24d24d23d23d23d23","d25d24d24d24d23d23d23d23d23d23","d23d23d23d24d24d24d24d23d23d23","d24d24d24d23d24d23d23d23d23d23","d24d24d24d25d24d25d25d25d25d25","d25d25d25d25d25d25d25d25d25d26","d26d26d26d26d25d25d25d25d25d24","d25d25d25d25d25d25d25d25d25d25","d21d21d21d21d21d21d21d21d22d22","d21d21d21d21d21d21d20d20d20d20","d22d22d22d22d22d22d22d21d21d21","d25d25d25d24d24d24d24d24d24d24","d21d21d21d21d21d21d21d20d20d20","d25d25d24d24d24d23d23d23d23d23","d21d21d21d21d22d22d22d22d22d22","d25d25d25d24d24d24d23d23d23d23","d21d21d22d22d22d22d22d22d22d22","d24d24d24d25d25d25d25d25d25d25","d23d23d24d24d24d24d23d23d23d23","d25d25d25d25d25d25d26d26d26d26","d23d24d24d24d24d23d23d23d23d23","d26d26d26d26d26d25d25d25d25d24","d26d26d26d26d26d25d25d25d25d25","d25d25d25d25d24d24d24d24d24d24","d24d24d25d24d25d25d25d25d25d25","d25d24d25d25d25d25d25d25d25d25","d25d25d25d25d25d26d26d26d26d26","d22d23d23d23d23d23d23d23d23d23","d24d24d24d25d24d24d25d25d25d25","d23d24d24d23d23d23d23d23d23d23","d24d24d24d24d25d24d25d25d25d25","d21d21d21d21d21d21d21d21d21d20","d24d24d24d24d24d24d24d25d25d25","d26d25d25d25d25d24d24d24d24d24","d24d23d23d23d23d24d24d24d24d24","d21d21d21d21d20d20d20d20d20d20","d24d24d24d24d24d24d25d25d25d25","d26d26d26d26d26d26d26d25d25d25","d21d21d21d21d21d21d21d21d21d22","d23d23d23d24d24d23d23d23d23d23","d21d21d21d21d21d21d21d21d21d21","d21d21d21d21d21d21d22d22d22d22","d24d24d24d24d24d24d24d24d23d23","d23d23d23d23d24d24d24d24d24d24","d22d22d22d22d22d22d22d22d22d22","d22d22d23d23d23d23d23d23d23d23","d22d22d22d22d22d22d22d22d22d23","d26d26d26d26d26d26d26d26d25d25","d24d24d24d24d24d25d25d25d25d25","d24d24d23d23d23d23d24d24d24d24","d24d23d24d23d23d23d23d23d23d23","d23d23d23d23d23d23d23d23d23d24","d23d23d23d23d23d23d23d23d23d23","d26d26d25d25d25d25d24d24d24d24"
"-0.00089285","0.00079363","-0.00089285","-0.00091864","-0.00091391","0.00054243","-0.0005308","-0.0026412","0.00076005","-0.00052745","-0.0051864","0.00073321","-0.0073677","-0.0076193","-0.0032149","-0.0013379","-0.0072244","-0.00091391","0.00046999","-0.00090708","-0.0048365","-0.00089285","-0.00039868","-0.00089615","-0.00091391","-0.48787","-0.0033945","-0.00037163","-0.0030679","-0.00095779","-0.00038238","-0.00089285","-0.0074532","-0.0005308","-0.0011594","-0.0040564","0.00045766","-0.0092554","-0.00043308","-0.002862","-0.0022711","0.00089336","-0.0010891","-0.00091864","-0.00091816","-0.0005308","-0.00039711","-0.0010392","0.00053871","-0.001749","-0.0036651","0.00084079","-0.0011594","-0.00089285","-0.00056012","-0.00097286","-0.0028573","-0.00071631","-0.0005308","-0.004437","-0.00071631","-0.0026863","0.00049572","-0.00038955","-0.0005308","-0.00091864","0.00081223","-0.0042611","-0.00777","-0.0011594","-0.00071631","-0.0036651","-0.00039868","-0.00043308","0.00077629","0.00046682","-0.0088733","0.00049026","-0.0074788","0.00083651","-0.00090708","-0.0043062","-0.0031609","0.00085409","-0.0005308","-0.00091816","-0.0062983","-0.00095788","-0.0032923","-0.00043308","-0.00080027","-0.0068796","-0.0077341","-0.00064902","-0.00054241","-0.00089285","-0.00095779","-0.00089615","-0.00043308","-0.083077","0.0009042","0.00049572","0.00079363","-0.0036212","0.00049388","-0.00064902","0.00077629","-0.00071631","0.0007304","-0.0028573","-0.00054241","-0.00090708","-0.00054241","-0.00091816","-0.00032881","-0.003579","-0.00095779","-0.00087987","-0.00089615","-0.00037825","-0.0005308","-0.0010005","-0.00091391","0.00049572","-0.002676","-0.00091816","-0.00055653","0.00046999","-0.0029134","-0.00093089","0.00093352","-0.0010891","0.83208","0.00089336","-0.009166","-0.0053572","-0.00099799","-0.00037293","-0.00039868","-0.00094394","-0.0028755","-0.00053581","-0.0008387","-0.0044794","-0.24818","-0.00091816"
"0.0028051","-0.00013528","0.0028051","-0.00055539","0.00065679","-2.7546e-05","-0.00026986","-0.0017194","-0.00012956","0.0016733","0.0014089","-0.00012498","0.00023673","-0.0020902","-0.0018005","0.00039946","0.0029687","0.00065679","0.00011603","-0.0005484","0.00051013","0.0028051","0.0011893","-0.0005418","0.00065679","-0.67927","-0.0014328","0.0011086","-0.0019839","0.00068833","0.0011407","0.0028051","-0.0024932","-0.00026986","-0.00092403","-0.0024897","0.00011299","-0.0042232","0.0003825","-0.0021924","-0.0018323","-0.00015228","-0.00086798","-0.00055539","-0.0011994","-0.00026986","0.0011847","-0.00082821","-2.7358e-05","0.0059573","-0.0026917","-0.00014332","-0.00092403","0.0028051","0.0017769","-0.00058817","-0.0015028","0.00086106","-0.00026986","-0.0020346","0.00086106","-0.0003265","0.00012239","0.0011621","-0.00026986","-0.00055539","-0.00013845","0.00096869","-0.0021606","-0.00092403","0.00086106","-0.0026917","0.0011893","0.0003825","-0.00013232","0.00011525","-0.0040489","0.00012104","0.0002403","-0.00014259","-0.0005484","0.00097893","-0.0017702","-0.00014558","-0.00026986","-0.0011994","0.00064928","-0.00057912","-0.0018438","0.0003825","0.0025142","0.0017156","-0.0021507","0.00078016","0.0017208","0.0028051","0.00068833","-0.0005418","0.0003825","-0.035124","-0.00015413","0.00012239","-0.00013528","-0.0026595","0.00012193","0.00078016","-0.00013232","0.00086106","-0.0001245","-0.0015028","0.0017208","-0.0005484","0.0017208","-0.0011994","0.0002904","-0.0026285","0.00068833","0.00063233","-0.0005418","0.0011284","-0.00026986","-0.00079737","0.00065679","0.00012239","-0.001742","-0.0011994","0.0016275","0.00011603","-0.0015323","-0.0005628","-0.00015912","-0.00086798","-0.191","-0.00015228","-0.0041824","0.0022769","0.0042391","0.0011125","0.0011893","-0.00057069","-0.0015124","0.0015669","0.0026349","1.2247e-05","0.70748","-0.0011994"
"-0.0008652","-2.5561e-06","-0.0008652","0.0015777","0.0035405","0.00020305","0.0039266","0.011589","-2.448e-06","-0.0005505","-0.0023214","-2.3615e-06","-0.0039254","-0.0043464","0.0083978","0.006797","-0.0045257","0.0035405","0.00061774","0.0015579","-0.0022265","-0.0008652","-0.00025799","0.0015391","0.0035405","-0.27678","0.01546","-0.00024049","0.0091301","0.0037105","-0.00024744","-0.0008652","-0.0049094","0.0039266","-0.00081559","0.018045","0.00060154","-0.0061802","0.0026487","0.0078164","0.0097035","-2.8774e-06","-0.00076612","0.0015777","-0.00032808","0.0039266","-0.00025698","-0.00073102","0.00020166","0.018003","0.0092826","-2.708e-06","-0.00081559","-0.0008652","-0.0005846","0.0016708","0.012939","0.001142","0.0039266","0.019441","0.001142","0.00845","0.00065156","-0.00025208","0.0039266","0.0015777","-2.616e-06","-0.0018218","-0.0049229","-0.00081559","0.001142","0.0092826","-0.00025799","0.0026487","-2.5003e-06","0.00061358","-0.005925","0.00064439","-0.0039846","-2.6942e-06","0.0015579","-0.0018411","0.0082566","-2.7509e-06","0.0039266","-0.00032808","-0.0034131","0.0016451","0.0085998","0.0026487","-0.00077549","-0.0041703","-0.0049002","0.0010347","-0.00056612","-0.0008652","0.0037105","0.0015391","0.0026487","0.91095","-2.9123e-06","0.00065156","-2.5561e-06","0.0091713","0.00064915","0.0010347","-2.5003e-06","0.001142","-2.3525e-06","0.012939","-0.00056612","0.0015579","-0.00056612","-0.00032808","0.002011","0.0090645","0.0037105","0.0034087","0.0015391","-0.00024477","0.0039266","-0.00070379","0.0035405","0.00065156","0.011741","-0.00032808","-0.0005147","0.00061774","0.013193","0.0015988","-3.0067e-06","-0.00076612","-0.14859","-2.8774e-06","-0.0061205","-0.0025457","-0.0009376","-0.00024133","-0.00025799","0.0016212","0.013022","-0.00049553","-0.00081272","-0.0021824","-0.26028","-0.00032808"
