"d22d22d22d22d22d22d22d22d22d22","d20d20d20d20d20d20d20d20d20d20","d24d24d24d24d24d24d24d24d24d24","d21d21d21d21d21d21d21d21d21d21","d23d23d23d23d23d23d23d23d23d23"
"-0.37403","-0.4228","-0.037548","-0.0080441","0.82454"
"0.75892","-0.6511","-0.0016211","-0.0003116","0.010317"
"-0.23484","-0.2793","0.90679","0.035789","-0.2081"
