"d22d22d22d22d22d22d22d22d22d22","d20d20d20d20d20d20d20d20d20d20","d24d24d24d24d24d24d24d24d24d24","d21d21d21d21d21d21d21d21d21d21","d23d23d23d23d23d23d23d23d23d23"
"2.1648e-145","0.86301","5.6221e-146","0.13699","1.7465e-146"
"0.72411","1.1268e-155","0.27589","7.3227e-155","4.9493e-156"
"6.4175e-184","2.6309e-158","1.9396e-182","7.8089e-183","1"
