"d23d23d25d25d25d25d25d25d25d25","d25d26d26d26d26d26d26d26d26d26","d26d26d26d26d26d26d26d26d27d27","d24d24d24d24d25d25d24d24d24d24","d24d24d25d25d24d24d24d24d24d24","d26d26d26d26d26d26d25d25d25d24","d20d20d20d20d20d20d20d20d21d21","d20d20d20d20d20d20d20d21d21d21","d26d26d25d25d25d25d25d25d25d25","d24d24d24d24d24d24d24d25d24d24","d21d21d21d21d21d20d20d21d21d21","d24d24d24d24d24d24d24d24d25d25","d22d22d22d21d21d21d21d21d21d21","d24d24d24d25d25d24d25d25d25d25","d25d25d25d25d24d24d24d25d25d25","d23d23d23d23d23d24d24d24d24d24","d27d27d26d26d26d26d26d26d26d26","d25d25d25d26d26d25d25d25d25d25","d23d24d24d24d24d24d24d24d24d24","d24d24d24d23d23d23d23d23d23d23","d23d24d23d24d24d24d24d24d24d24","d24d24d24d24d24d24d24d24d25d24","d25d26d26d25d25d25d25d25d25d25","d25d25d25d25d25d25d25d25d24d24","d24d23d23d23d23d23d23d23d23d23","d27d27d27d26d26d26d26d26d26d26","d21d21d21d20d20d20d20d20d20d20","d25d25d25d25d26d26d26d26d26d26","d25d25d25d24d24d24d25d25d25d25","d25d25d25d25d25d26d26d25d25d25","d25d25d25d25d25d24d24d24d25d25","d23d23d23d23d23d23d23d23d24d24","d22d21d21d21d21d21d21d21d21d21","d25d25d25d25d25d25d25d25d26d26","d24d24d24d24d24d24d24d24d24d24","d24d24d24d24d24d24d24d24d24d25","d24d24d24d25d25d24d24d24d24d24","d25d25d25d25d25d24d24d24d24d24","d25d25d24d25d25d25d25d25d25d25","d23d23d23d23d23d24d23d24d24d24","d24d25d25d25d25d25d25d26d26d26","d24d24d24d24d23d23d23d23d23d23","d24d24d24d24d24d24d25d24d24d25","d26d25d25d25d25d25d25d25d24d24","d24d24d25d25d24d25d25d25d25d25","d24d24d25d25d25d25d25d25d25d25","d23d23d23d23d23d23d23d23d24d23","d21d20d20d20d20d20d20d20d20d20","d24d24d24d24d24d25d25d24d24d24","d24d24d24d24d24d24d24d24d24d23","d25d25d25d25d25d25d24d24d24d25","d26d26d25d25d25d25d25d24d24d24","d25d24d24d25d25d25d25d25d25d25","d25d25d25d25d26d26d25d25d25d25","d25d25d25d25d25d25d24d24d24d24","d20d20d20d20d21d21d21d21d21d21","d25d25d26d26d26d26d26d26d26d26","d24d24d24d24d25d24d24d25d25d25","d24d25d25d24d25d25d25d25d25d25","d24d23d24d24d24d24d24d24d24d24","d20d20d20d20d20d20d20d20d20d21","d25d24d24d24d24d24d24d24d24d24","d20d20d20d20d20d20d20d20d20d20","d26d26d27d27d27d27d26d26d26d26","d26d26d26d26d26d26d25d25d25d25","d24d24d24d24d25d25d25d25d25d25","d25d25d25d26d26d26d26d25d25d25","d26d25d25d25d25d25d25d25d25d25","d24d25d24d24d25d25d25d25d25d25","d23d23d24d23d24d24d24d24d24d24","d24d25d25d25d25d25d25d25d25d25","d22d22d21d21d21d21d21d21d21d21","d25d25d25d25d26d26d26d26d25d25","d21d21d21d21d21d21d21d20d20d21","d23d23d23d23d23d23d24d23d24d24","d26d26d26d26d26d26d26d26d26d27","d26d26d26d26d26d26d26d26d26d26","d21d21d21d21d21d21d21d21d20d20","d24d24d24d24d24d25d24d24d25d25","d25d25d25d25d25d25d25d26d26d26","d25d25d25d25d25d25d25d26d26d25","d24d24d24d24d23d23d23d23d24d24","d25d25d26d26d26d26d25d25d25d25","d25d25d24d24d24d25d25d25d25d25","d23d23d23d23d23d23d23d24d24d24","d24d24d24d24d24d23d23d23d23d23","d23d23d23d23d24d23d24d24d24d24","d25d25d24d24d24d24d24d24d24d24","d20d20d20d20d20d20d21d21d21d21","d26d25d25d25d25d25d24d24d24d24","d24d24d24d24d24d24d24d23d23d23","d21d21d20d20d20d20d20d20d20d20","d26d26d26d26d25d25d25d24d24d24","d21d21d21d21d21d20d20d20d20d20","d23d23d24d24d24d24d24d24d24d24","d25d25d25d26d26d26d26d26d26d26","d23d23d23d23d23d23d24d24d24d24","d25d25d25d25d25d25d25d24d24d24","d22d22d22d22d21d21d21d21d21d21","d24d24d25d24d24d25d25d25d25d25","d26d26d26d26d26d26d26d26d26d25","d23d23d23d24d24d24d24d24d24d24","d23d25d25d25d25d25d25d25d25d25","d25d25d25d25d25d25d25d25d25d24","d26d26d26d26d25d25d25d25d25d25","d26d26d26d25d25d25d25d25d24d24","d24d24d24d24d24d24d23d23d23d23","d24d24d23d23d23d23d23d23d23d23","d23d24d23d23d23d23d23d23d23d23","d24d24d24d24d25d25d24d25d25d25","d20d20d20d21d21d21d21d21d21d21","d24d24d24d24d24d23d23d23d23d24","d24d24d25d25d25d25d25d25d26d26","d25d25d25d25d25d25d25d25d25d26","d26d26d26d26d25d25d25d25d25d24","d25d25d25d25d25d25d25d25d25d25","d25d25d25d25d25d25d26d26d25d25","d21d21d21d21d21d21d20d20d20d20","d26d26d26d26d27d27d27d27d26d26","d21d21d21d21d21d21d21d20d20d20","d25d25d25d24d24d24d24d24d24d24","d24d24d24d25d25d25d25d25d25d25","d24d24d24d25d25d25d25d25d25d26","d25d25d25d25d25d25d26d26d26d26","d26d26d26d26d26d25d25d25d25d25","d24d24d24d24d24d25d25d24d25d25","d21d21d21d21d21d21d20d20d21d21","d25d25d25d25d24d24d24d24d24d24","d27d27d27d27d26d26d26d26d26d26","d25d25d26d26d25d25d25d25d25d25","d26d26d26d26d26d26d26d27d27d27","d25d24d25d25d25d25d25d25d25d25","d27d26d26d26d26d26d26d26d26d25","d25d25d25d25d25d26d26d26d26d26","d23d23d23d25d25d25d25d25d25d25","d25d25d25d25d25d26d26d26d26d25","d23d23d23d24d23d24d24d24d24d24","d24d24d24d25d24d24d25d25d25d25","d26d25d25d25d24d24d24d24d24d24","d23d23d23d23d23d23d23d24d23d24","d21d21d21d21d21d21d21d21d21d20","d26d27d27d27d27d26d26d26d26d26","d24d24d24d24d24d24d24d25d25d25","d24d24d24d24d24d24d24d25d25d24","d24d24d24d24d24d24d25d25d24d25","d24d24d24d24d24d24d25d25d24d24","d25d26d26d26d26d25d25d25d25d25","d21d21d21d21d20d20d20d20d20d20","d24d24d24d24d24d24d25d25d25d25","d26d26d26d26d26d27d27d27d27d26","d26d26d26d26d26d26d26d25d25d25","d26d26d25d25d25d25d25d25d25d24","d21d21d21d21d21d21d21d21d21d21","d26d26d26d25d25d25d25d25d25d25","d24d24d24d23d23d23d23d24d24d24","d20d20d20d20d20d21d21d21d21d21","d24d24d24d24d24d24d24d24d23d23","d23d23d23d23d24d24d24d24d24d24","d26d26d26d27d27d27d27d26d26d26","d26d26d26d26d26d26d27d27d27d27","d24d25d25d24d24d24d24d24d24d24","d26d26d26d25d25d25d24d24d24d24","d26d26d26d26d26d26d26d26d25d25","d24d24d24d24d24d25d25d25d25d25","d24d23d24d23d23d23d23d23d23d23","d23d23d23d23d23d23d23d23d23d24","d26d26d25d25d25d24d24d24d24d24","d23d23d23d23d23d23d23d23d23d23","d26d26d26d26d26d25d25d25d24d24","d25d24d24d24d25d25d25d25d25d25"
"0.0013593","0.0061168","0.00067964","1.5718e-63","3.8752e-63","0.00067964","3.1136e-162","9.6514e-162","0.0033982","0.00067964","1.9021e-159","0.0089555","4.7679e-164","0.00067964","0.00067964","1.1538e-91","0.00067964","0.00067964","1.2507e-86","3.9058e-113","5.149e-132","0.00067964","0.00067964","0.010195","8.5084e-87","0.00067964","8.2318e-162","0.0061168","0.00067964","0.00067964","0.00067964","3.3171e-92","2.175e-163","0.0081557","0.00013501","0.0096628","1.9743e-62","0.012226","0.00067964","5.0932e-132","0.00067964","1.8088e-114","0.00067964","0.0013593","0.00067964","0.011554","2.1407e-131","3.5022e-162","1.6678e-64","5.8154e-17","0.00067964","0.00067964","0.00067964","0.00067964","0.011483","3.0786e-161","0.0061168","0.00067964","0.00067964","1.9112e-131","7.922e-162","0.0041352","6.6726e-161","0.00067964","0.0047575","0.010195","0.00067964","0.0033982","0.00067964","1.0638e-131","0.012913","9.8123e-163","0.00067964","5.9444e-159","6.3709e-132","0.00067964","0.050294","7.9811e-160","0.00067964","0.0067964","0.00067964","0.00067964","0.00067964","0.00067964","3.212e-92","2.4731e-115","3.0052e-131","0.0059046","1.3929e-161","0.00067964","1.7867e-16","3.6531e-161","0.00067964","2.4565e-161","1.0746e-91","0.0061168","5.394e-92","0.012231","1.3857e-163","0.00067964","0.0040779","1.5428e-91","0.0013593","0.0088354","0.0040779","0.00067964","5.3332e-17","2.2399e-114","4.205e-88","0.00067964","2.807e-162","0.00067964","0.00067964","0.0081557","0.00067964","0.62255","0.00067964","1.8125e-161","0.00067964","2.6852e-162","0.007807","0.010195","0.00067964","0.0074761","0.0040779","0.00067964","6.2109e-159","0.011549","0.00067964","0.00067964","0.00067964","0.00067964","0.00067964","0.0067964","0.0013593","0.00067964","3.2615e-132","0.00067964","0.00067964","1.992e-131","1.2686e-159","0.00067964","0.009515","0.00043207","0.00067964","8.3908e-63","0.00067964","4.5582e-162","0.009515","0.00067964","0.0054371","0.0013593","4.4056e-160","0.0040779","0.00067964","4.443e-161","9.8189e-17","5.7477e-92","0.00067964","0.00067964","1.5519e-63","0.00067964","0.0047575","0.009515","1.9448e-87","1.1992e-86","0.00067964","2.4412e-92","0.00067964","0.00067964"
"1.7531e-190","4.6447e-189","2.0149e-199","4.8474e-24","1.683e-23","6.9591e-190","0.00076104","0.00076104","4.7363e-190","2.9108e-193","0.00076104","2.2633e-47","0.00076104","4.6556e-177","1.7498e-195","2.1481e-194","1.6586e-197","3.5195e-192","1.0198e-191","4.4578e-195","6.037e-201","6.0736e-192","9.7081e-193","1.3096e-177","3.1183e-195","2.7234e-197","0.00076104","1.3564e-190","7.021e-195","3.7177e-192","3.648e-195","2.9719e-194","0.0015221","1.4592e-187","3.4742e-53","1.0405e-47","6.6454e-23","5.842e-177","2.3094e-178","1.5634e-200","2.8315e-190","2.6579e-195","8.1879e-192","8.7655e-189","6.8607e-175","9.5363e-186","7.342e-201","0.00076104","1.3599e-23","3.6912e-191","3.9747e-195","1.4475e-195","2.333e-193","2.0623e-192","1.1551e-176","0.00076104","1.2628e-189","2.5675e-191","3.5226e-178","7.9735e-201","0.00076104","3.4611e-45","0.0045662","2.4886e-197","8.7511e-189","6.6802e-186","2.9431e-189","4.19e-190","4.5722e-192","2.7908e-200","3.8211e-184","0.0015221","2.2394e-189","0.00076104","1.0908e-200","2.4804e-197","3.0093e-189","0.0015221","3.5524e-191","3.1385e-187","1.5679e-192","4.9368e-186","5.6572e-189","5.4565e-196","3.7792e-194","3.0297e-195","1.4551e-200","2.8384e-44","0.00076104","1.7105e-195","8.9228e-191","0.00076104","5.8944e-190","0.00076104","4.103e-194","5.1262e-189","3.3999e-194","5.5431e-177","0.00076104","4.8595e-194","3.9033e-189","7.1335e-194","6.1955e-190","3.4698e-179","4.1865e-188","1.3625e-193","3.6684e-191","1.5016e-195","1.2222e-196","3.0159e-178","0.00076104","3.4623e-185","7.3066e-190","1.1578e-187","8.4945e-195","7.0024e-184","1.0955e-192","0.00076104","1.702e-197","0.00076104","1.9794e-175","6.4906e-186","7.2998e-190","1.0947e-187","8.0468e-189","9.3856e-178","0.00076104","7.7608e-177","1.0009e-197","2.9785e-192","4.6659e-197","1.8769e-177","1.2208e-197","4.2278e-188","7.4041e-191","8.1722e-189","2.711e-200","2.4783e-191","3.3057e-190","2.9821e-200","0.0015221","5.8896e-198","1.3065e-185","8.8205e-23","4.2507e-178","1.9622e-22","6.2305e-189","0.00076104","6.8363e-186","9.2703e-198","3.8092e-189","2.6499e-188","0.97489","2.1062e-188","1.2913e-185","0.00076104","2.8495e-191","4.8479e-194","8.32e-198","5.2767e-198","9.9703e-24","1.6499e-190","8.86e-190","2.8388e-186","2.5968e-197","1.0296e-194","6.1133e-190","2.3549e-196","5.7396e-189","2.766e-195"
"6.4468e-50","1.0633e-22","5.8327e-242","0.001166","0.001166","5.9478e-33","4.9845e-242","4.43e-242","3.0462e-41","1.7713e-45","1.5164e-241","0.0044578","7.8663e-246","2.3651e-42","4.7385e-78","0.004664","8.3976e-242","1.1752e-36","0.0069959","0.004664","0.001166","2.0837e-45","9.5513e-37","7.296e-08","0.0058299","8.6322e-242","2.3698e-242","1.9846e-23","2.1901e-77","4.7678e-37","6.799e-78","0.004664","2.6688e-242","1.9747e-22","0.73901","0.0044105","0.001166","1.3655e-05","1.8819e-43","0.001166","2.8876e-34","0.004664","7.1564e-46","2.2419e-21","1.7905e-40","7.8228e-15","0.001166","6.0939e-242","0.001166","0.0058299","3.2039e-78","1.0293e-48","1.8512e-45","1.4801e-36","0.00012129","1.8371e-241","2.6904e-23","8.9216e-45","3.6551e-44","0.001166","3.6616e-242","0.012728","5.0934e-241","1.0989e-241","5.6488e-23","2.7969e-13","1.9706e-240","3.5073e-41","3.5129e-45","0.001166","3.4719e-14","6.1158e-243","4.5235e-241","3.2632e-241","0.001166","1.8315e-241","1.1546e-22","1.5829e-240","1.0734e-44","1.8425e-20","6.4822e-38","8.644e-24","4.2008e-241","6.4916e-78","0.004664","0.004664","0.001166","0.012024","8.0702e-243","1.7152e-48","0.0058299","1.2226e-241","5.0773e-33","8.1687e-242","0.004664","3.5369e-23","0.004664","5.184e-06","2.665e-246","9.8293e-46","1.526e-20","0.004664","4.4014e-49","3.5123e-14","8.9225e-29","1.8189e-47","0.0058299","0.004664","0.001166","1.9782e-43","4.9274e-242","1.5459e-23","1.7887e-32","1.0297e-21","1.56e-48","5.5112e-23","2.3052e-36","4.7138e-244","2.3939e-242","1.7056e-242","0.0075941","2.1087e-14","1.5021e-32","4.5646e-20","7.7411e-23","1.2945e-43","8.0858e-241","9.0244e-06","4.4596e-242","2.3139e-36","1.5052e-241","5.7476e-43","3.7226e-242","7.6253e-20","5.5083e-50","2.8303e-241","0.001166","7.7324e-46","1.8435e-35","0.001166","2.8497e-240","4.7783e-242","6.1521e-12","0.0015907","3.1105e-43","0.001166","2.5486e-240","5.7516e-244","2.1005e-12","6.962e-242","2.2079e-22","1.0526e-20","1.0823e-239","4.2372e-29","8.4146e-24","2.5701e-241","0.0058299","0.004664","7.0244e-242","9.0191e-242","0.001166","4.7617e-33","1.2605e-21","8.7635e-13","0.001166","0.0058299","3.2369e-32","0.10494","8.2128e-32","2.8336e-78"
