"d14d14d15","d15d15d15","d15d15d14","d14d14d14"
"4.9785e-09","1","2.2565e-08","7.11e-09"
"2.3513e-07","0.040867","0.065611","0.89352"
"0.37277","0.24078","0.13448","0.25197"
