"d18d18d18","d18d18d19","d19d19d18","d19d19d19"
"0.16346","0.059753","0.059753","0.71703"
"1","1.1425e-22","9.7083e-21","3.7999e-20"
"1","3.7907e-17","2.5585e-17","1.2076e-17"
