"d18d18d18","d17d18d18","d18d17d17","d17d17d17"
"0.94358","0.0283","0.028119","4.7937e-10"
"0.0013966","0.12974","0.15522","0.71364"
"0.00020047","0.024801","0.00097959","0.97402"
