"d14d14d15","d15d15d15","d15d15d14","d14d14d14"
"0.043206","0.0003436","0.91518","-0.40073"
"0.66912","-0.74249","-0.031311","-1.3878e-17"
"0.089456","0.063954","0.39511","0.91203"
