"d18d18d18","d16d16d16","d18d18d17","d19d19d20","d16d16d17","d17d16d16","d20d20d20","d19d19d18","d20d20d19","d17d17d18","d17d17d17","d16d17d17","d18d19d19"
"-0.042146","-0.063365","-0.089785","0.041831","0.038384","-0.13291","-0.0032116","-0.015293","-0.023122","0.046275","-0.96902","-0.14343","0.052538"
"-0.45087","-0.86035","-0.060477","-0.0943","-0.086529","-0.036827","0.0025441","0.032502","0.049141","-0.10432","0.07181","-0.039743","-0.11844"
"-0.10442","0.035331","-0.15828","0.19126","0.1755","-0.29682","0.65993","0.21352","0.32283","0.21157","0.13009","-0.32032","0.24021"
