"d16d16d15","d18d18d18","d18d16d15","d18d18d17","d16d16d16","d16d16d17","d20d17d16","d15d15d16","d17d16d16","d20d20d20","d14d14d15","d15d15d15","d19d19d18","d14d14d14","d16d15d14","d17d17d18","d13d16d15","d17d17d17","d17d17d16","d16d16d13","d15d16d16","d17d18d18","d18d19d20","d16d17d17","d16d17d16","d17d18d20"
"-0.1017","0.049577","0.22308","-0.084378","-0.44586","-0.19174","-0.15938","-0.16623","-0.17767","-0.23724","-0.07704","-0.10588","-0.10354","-0.20215","-0.15655","-0.11454","-0.13903","-0.32202","-0.24789","-0.13903","-0.17939","-0.096727","-0.15655","-0.37284","-0.13903","-0.13903"
"-0.4978","0.089176","-0.51275","0.075221","-0.23998","-0.096645","-0.28456","0.14018","-0.089554","0.19655","0.06167","0.08772","0.082885","0.16182","0.12531","0.09169","0.12394","-0.086337","-0.13342","0.12394","0.15128","-0.1727","0.12531","-0.19412","0.12394","0.12394"
"-0.065876","-0.33482","0.0063331","0.16354","0.21433","-0.2256","-0.12602","0.013371","-0.20905","-0.11645","-0.12091","-0.051971","-0.1625","-0.31726","-0.24569","-0.17977","0.26947","0.24347","0.11916","0.26947","0.01443","-0.076485","-0.24569","-0.13854","0.26947","0.26947"
