"d14d15d15","d14d14d15","d15d15d15","d15d15d14","d14d14d14","d15d14d14"
"-0.031456","0.26657","0.26539","-0.20239","-0.83604","-0.34292"
"-0.025507","0.21615","-0.9519","-0.045668","-0.20845","-0.031153"
"-0.99311","-0.11719","1.26e-16","0","0","-2.7756e-17"
