"d9d9d9","d8d9d9","d8d8d8","d9d8d8"
"0.73032","0.6831","-0.0017489","0"
"0.030736","-0.035418","-0.9989","-4.3379e-17"
"0.6804","-0.72731","0.046724","-0.076696"
