"d14d15d14","d16d16d16","d14d15d15","d15d15d15","d15d15d14","d14d14d14","d16d15d15","d15d16d16"
"-0.0087206","-0.31874","-0.049834","-0.21152","-0.038046","-0.91789","-0.06821","-0.049834"
"-0.006515","-0.23812","-0.19352","-0.8214","-0.14774","0.31886","-0.26488","-0.19352"
"-0.0052927","-0.19345","0.96976","-0.12838","-0.023091","0.049834","-0.041397","-0.030245"
