"d16d16d15","d16d16d16","d15d15d16","d14d14d15","d15d15d15","d15d15d14","d14d14d14","d14d13d13","d16d15d15","d13d13d13","d15d14d14","d13d13d14"
"-0.11632","-0.069819","0.0052687","-0.14573","-0.68275","0.027123","-0.36102","-0.016026","-0.29463","-0.080129","-0.51901","-0.016026"
"-0.1907","0.17134","0.28148","-0.06062","-0.03325","-0.13118","-0.13626","-0.16578","0.13285","-0.82891","0.23403","-0.16578"
"-0.14319","0.12463","-0.015722","-0.062057","0.079389","-0.16345","-0.8214","0.062858","0.18829","0.31429","0.33168","0.062858"
