0.12907,-0.0027262,0,0,-0.037892,0.039176,-0.34639,0.1764,-0.070236,0.88199,-0.12373,0.1764
-0.00815,-0.3017,-0,-0,0.3809,-0.1897,-0.4999,-0.011139,0.3401,-0.055694,0.5991,-0.011139
0.50551,0.57372,-0,-0,-0.23369,0.032447,-0.45924,-0.22564,0.13467,-0.16712,-0.028924,-0.22564
0,0,0,1,0,0,0,0,0,0,0,0
0.19058,0.33553,0,0,0.88289,0.058617,0.14794,0.00597,-0.10509,0.02985,-0.18512,0.00597
-0.06942,-0.10926,-0.08737,0,0.039505,0.97248,-0.1087,-0.025921,0.066195,-0.045633,0.093352,-0.025921
-0.46747,0.18974,0.69896,-0,0.040896,0.031488,-0.38539,0.10247,-0.19124,-0.15938,-0.15085,0.10247
-0.034262,0.20713,-0.26211,0,-0.044003,-0.0032814,-0.080684,0.91277,0.056429,-0.18423,0.029642,-0.087229
0.026974,0.085252,0.34948,0,-0.02576,0.043089,0.28344,0.089984,0.85535,0.11404,-0.16179,0.089984
0.65715,-0.48424,0.34948,-0,-0.0045814,0.047591,-0.037947,0.21929,-0.15272,-0.23944,-0.17601,0.21929
0.18206,0.30288,0.34948,0,-0.10758,0.08454,0.37708,0.098458,-0.21896,0.15641,0.7073,0.098458
-0.034262,0.20713,-0.26211,0,-0.044003,-0.0032814,-0.080684,-0.087229,0.056429,-0.18423,0.029642,0.91277
